date,scale,type,open,close,adds,drop,cin,cout,netchg
1988-05-01,indus,rooms,1769,100,0,66,1924,1420,2107
1988-05-01,luxus,props,0,0,0,0,0,0,0
1988-05-01,luxus,rooms,0,0,0,0,0,0,0
1988-05-01,midus,props,17,0,0,0,2,13,6
1988-05-01,midus,rooms,1856,0,0,0,246,1445,657
1988-05-01,upmus,props,25,0,0,0,5,2,28
1988-05-01,upmus,rooms,2789,0,0,0,797,281,3305
1988-05-01,upuus,props,3,0,0,0,0,3,0
1988-05-01,upuus,rooms,689,0,0,0,0,909,-220
1988-05-01,upsus,props,15,0,0,0,0,0,15
1988-05-01,upsus,rooms,2148,0,0,0,0,0,2148
1988-06-01,ecous,props,67,1,0,0,26,16,76
1988-06-01,ecous,rooms,4988,67,0,0,2084,1402,5603
1988-06-01,indus,props,288,2,4,2,21,23,286
1988-06-01,indus,rooms,18313,579,137,30,2969,2908,17902
1988-06-01,luxus,props,0,0,0,0,0,0,0
1988-06-01,luxus,rooms,0,0,0,0,0,0,0
1988-06-01,midus,props,32,0,1,0,13,22,24
1988-06-01,midus,rooms,3012,0,610,0,1390,2292,2720
1988-06-01,upmus,props,25,0,0,0,6,5,26
1988-06-01,upmus,rooms,2860,0,0,0,651,1187,2324
1988-06-01,upuus,props,7,0,0,1,3,4,5
1988-06-01,upuus,rooms,1916,0,0,300,940,609,1947
1988-06-01,upsus,props,8,0,0,0,2,1,9
1988-06-01,upsus,rooms,1931,0,0,0,543,179,2295
1988-07-01,ecous,props,33,0,0,0,17,14,36
1988-07-01,ecous,rooms,2831,0,0,0,1799,1647,2983
1988-07-01,indus,props,8,0,0,0,17,11,14
1988-07-01,indus,rooms,2130,0,0,0,2011,1388,2753
1988-07-01,luxus,props,0,0,0,0,0,0,0
1988-07-01,luxus,rooms,0,0,0,0,0,0,0
1988-07-01,midus,props,11,0,0,0,4,19,-4
1988-07-01,midus,rooms,2264,0,0,0,419,2783,-100
1988-07-01,upmus,props,13,0,0,0,7,3,17
1988-07-01,upmus,rooms,1276,0,0,0,1250,373,2153
1988-07-01,upuus,props,4,0,0,0,0,1,3
1988-07-01,upuus,rooms,1620,0,0,0,0,149,1471
1988-07-01,upsus,props,4,0,0,0,3,0,7
1988-07-01,upsus,rooms,539,0,0,0,861,0,1400
1988-08-01,ecous,props,33,0,1,0,27,8,53
1988-08-01,ecous,rooms,2861,0,6,0,2328,1017,4178
1988-08-01,indus,props,14,0,0,0,10,24,0
1988-08-01,indus,rooms,1321,0,0,0,903,2270,-46
1988-08-01,luxus,props,0,0,0,0,0,0,0
1988-08-01,luxus,rooms,0,0,0,0,0,0,0
1988-08-01,midus,props,14,2,0,0,4,11,5
1988-08-01,midus,rooms,1918,226,0,0,785,1007,1470
1988-08-01,upmus,props,16,0,0,0,4,2,18
1988-08-01,upmus,rooms,1593,0,0,0,410,300,1703
1988-08-01,upuus,props,7,0,0,0,0,3,4
1988-08-01,upuus,rooms,2389,0,0,0,0,1168,1221
1988-08-01,upsus,props,7,0,0,0,3,0,10
1988-08-01,upsus,rooms,1065,0,0,0,1336,0,2401
1988-09-01,ecous,props,35,0,0,0,15,17,33
1988-09-01,ecous,rooms,2783,0,0,0,1407,1279,2911
1988-09-01,indus,props,12,1,0,0,23,18,16
1988-09-01,indus,rooms,947,93,0,0,3055,2191,1718
1988-09-01,luxus,props,0,0,0,0,3,1,2
1988-09-01,luxus,rooms,0,0,0,0,427,281,146
1988-09-01,midus,props,5,0,0,0,4,16,-7
1988-09-01,midus,rooms,486,0,0,0,647,2918,-1785
1988-09-01,upmus,props,14,0,0,0,11,2,23
1988-09-01,upmus,rooms,1642,0,0,0,2015,588,3069
1988-09-01,upuus,props,3,0,0,1,2,6,-2
1988-09-01,upuus,rooms,2612,0,0,76,613,1356,1793
1988-09-01,upsus,props,5,0,0,0,2,0,7
1988-09-01,upsus,rooms,721,0,0,0,449,0,1170
1988-10-01,ecous,props,28,0,0,0,29,20,37
1988-10-01,ecous,rooms,2057,0,0,0,2611,1583,3085
1988-10-01,indus,props,16,2,0,0,22,25,11
1988-10-01,indus,rooms,2137,249,0,0,1899,2197,1590
1988-10-01,luxus,props,1,0,0,0,3,1,3
1988-10-01,luxus,rooms,281,0,0,0,438,352,367
1988-10-01,midus,props,4,0,0,0,2,8,-2
1988-10-01,midus,rooms,361,0,0,0,192,863,-310
