sourcemonth,srcm_month,open_year,segment,hori,horitext,rmsincns,rmsfnlpl,rmsplnnn,rmstotal,open,close,adds,drop,cin,cout,netchg
2015-09-01,Sep,2018-01-01,upuus,3,Yr3 and later,0,3086,3093,6179,NA,NA,NA,NA,NA,NA,NA
2015-09-01,Sep,2018-01-01,upsus,3,Yr3 and later,898,3355,8015,12268,NA,NA,NA,NA,NA,NA,NA
2015-09-01,Sep,2018-01-01,upmus,3,Yr3 and later,0,2197,8392,10589,NA,NA,NA,NA,NA,NA,NA
2015-09-01,Sep,2018-01-01,midus,3,Yr3 and later,0,0,1183,1183,NA,NA,NA,NA,NA,NA,NA
2015-09-01,Sep,2018-01-01,ecous,3,Yr3 and later,0,0,343,343,NA,NA,NA,NA,NA,NA,NA
2015-09-01,Sep,2018-01-01,indus,3,Yr3 and later,4289,2032,2264,8585,NA,NA,NA,NA,NA,NA,NA
2015-09-01,Sep,2018-01-01,totus,3,Yr3 and later,5915,11505,25077,42497,NA,NA,NA,NA,NA,NA,NA
2016-09-01,Sep,2016-01-01,luxus,0,Current year,1097,0,0,1097,3999,9,331,272,2283,2221,4111
2016-09-01,Sep,2016-01-01,upuus,0,Current year,4069,0,0,4069,8576,248,601,1139,11679,8004,11465
2016-09-01,Sep,2016-01-01,upsus,0,Current year,14222,0,0,14222,31523,298,636,809,16687,7064,40675
2016-09-01,Sep,2016-01-01,upmus,0,Current year,17611,0,0,17611,39904,1750,774,590,14921,29210,24049
2016-09-01,Sep,2016-01-01,midus,0,Current year,3640,0,0,3640,4661,2555,407,1024,25420,23268,3641
2016-09-01,Sep,2016-01-01,ecous,0,Current year,847,0,0,847,5001,4420,1047,2882,54076,51842,980
2016-09-01,Sep,2016-01-01,indus,0,Current year,7767,0,0,7767,8418,11856,3413,4044,50352,53809,-7526
2016-09-01,Sep,2016-01-01,totus,0,Current year,49253,0,0,49253,102082,21136,7209,10760,175418,175418,77395
2016-09-01,Sep,2017-01-01,luxus,1,Yr1 (Next year),3149,220,180,3549,2952,1297,254,107,1849,1838,1813
2016-09-01,Sep,2017-01-01,upuus,1,Yr1 (Next year),11063,2778,870,14711,11264,736,1280,1280,10464,9026,11966
2016-09-01,Sep,2017-01-01,upsus,1,Yr1 (Next year),41411,10511,4517,56439,34202,1068,650,390,14773,11187,36980
2016-09-01,Sep,2017-01-01,upmus,1,Yr1 (Next year),36063,24465,9117,69645,39036,2603,1024,736,14197,22530,28388
2016-09-01,Sep,2017-01-01,midus,1,Yr1 (Next year),3298,7358,6454,17110,5722,3763,316,962,21938,15666,7585
2016-09-01,Sep,2017-01-01,ecous,1,Yr1 (Next year),2291,501,231,3023,4218,4307,1018,2843,30812,32175,-3277
