sourcemonth,srcm_month,open_year,segment,hori,horitext,rmsincns,rmsfnlpl,rmsplnnn,rmstotal,open,close,adds,drop,cin,cout,netchg
2018-06-01,Jun,2019-01-01,upuus,1,Yr1 (Next year),9029,6664,685,16378,2366,213,67,17,1940,3996,147
2018-06-01,Jun,2019-01-01,upsus,1,Yr1 (Next year),30821,19212,3498,53531,7640,947,153,130,2082,2715,6083
2018-06-01,Jun,2019-01-01,upmus,1,Yr1 (Next year),26920,33542,6602,67064,9194,765,169,339,3495,6619,5135
2018-06-01,Jun,2019-01-01,midus,1,Yr1 (Next year),7120,13621,7906,28647,2381,942,31,482,5672,3472,3188
2018-06-01,Jun,2019-01-01,ecous,1,Yr1 (Next year),263,464,1389,2116,1537,1230,131,345,7879,8817,-845
2018-06-01,Jun,2019-01-01,indus,1,Yr1 (Next year),5408,4801,1961,12170,1224,502,863,481,14700,9762,6042
2018-06-01,Jun,2019-01-01,totus,1,Yr1 (Next year),83089,78920,22221,184230,25669,4599,1589,1827,36691,36691,20832
2018-06-01,Jun,2020-01-01,luxus,2,Yr2 (Year after next),1466,1706,508,3680,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2020-01-01,upuus,2,Yr2 (Year after next),4271,10060,5452,19783,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2020-01-01,upsus,2,Yr2 (Year after next),2105,48315,14312,64732,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2020-01-01,upmus,2,Yr2 (Year after next),918,48582,27814,77314,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2020-01-01,midus,2,Yr2 (Year after next),290,12809,19228,32327,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2020-01-01,ecous,2,Yr2 (Year after next),0,0,1990,1990,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2020-01-01,indus,2,Yr2 (Year after next),4854,2368,2150,9372,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2020-01-01,totus,2,Yr2 (Year after next),13904,123840,71454,209198,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2021-01-01,luxus,3,Yr3 and later,171,4200,1714,6085,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2021-01-01,upuus,3,Yr3 and later,0,2836,6737,9573,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2021-01-01,upsus,3,Yr3 and later,180,4477,15188,19845,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2021-01-01,upmus,3,Yr3 and later,0,736,15206,15942,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2021-01-01,midus,3,Yr3 and later,0,314,5484,5798,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2021-01-01,ecous,3,Yr3 and later,0,0,162,162,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2021-01-01,indus,3,Yr3 and later,0,1054,4500,5554,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Jun,2021-01-01,totus,3,Yr3 and later,351,13617,48991,62959,NA,NA,NA,NA,NA,NA,NA
