"","sourcemonth","yrofchange","segment","pryearsupply","newbuild","convertin","rmadditions","rmclosures","convertout","rmsremoved","gainloss","supe","fiveyrprsupply","fiveyrnewbuild","fiveyrconvertin","fiveyrrmadditions","fiveyrclosures","fiveyrconvertout","fiveyrrmsremoved","fiveyrgainloss"
"39",2013-12-01,2013-01-01,"upmus",871298,22259,23715,3613,-1181,-36546,-1717,10143,875268,759700,134618,153015,12813,-7050,-176375,-15169,101852
"40",2014-12-01,2014-01-01,"upmus",877335,25855,26026,2881,-1993,-38591,-1848,12330,876164,794415,104402,144155,13431,-7379,-180274,-15552,58783
"41",2007-11-01,2007-01-01,"upsus",405092,22825,22082,1004,-724,-23313,-230,21644,426736,380389,80975,69566,8872,-6277,-99412,-7377,46347
"42",2008-11-01,2008-01-01,"upsus",428004,29721,18394,1974,-690,-22290,-648,26461,454465,390492,98926,79584,10516,-5700,-112234,-7119,63973
"43",2009-11-01,2009-01-01,"upsus",458533,41006,16702,913,-359,-10316,-404,47542,506075,391130,126681,89691,10502,-5080,-100894,-5955,114945
"44",2010-11-01,2010-01-01,"upsus",529112,19135,14129,544,-1851,-6886,-311,24760,553872,419249,132590,93884,6995,-4547,-90801,-3498,134623
"45",2011-11-01,2011-01-01,"upsus",564118,8955,10528,1680,-765,-13163,-198,7037,570948,440481,123365,78855,5807,-2638,-72208,-2507,130674
"46",2012-11-01,2012-01-01,"upsus",572341,10050,24978,3006,-775,-21867,-249,15143,587115,467745,110491,80575,7443,-2969,-72772,-2822,119946
"47",2013-12-01,2013-01-01,"upsus",588347,18571,13920,4113,-626,-10256,-2250,23472,612480,491602,101990,69407,10800,-2251,-60502,-10931,108513
"48",2014-12-01,2014-01-01,"upsus",607435,24270,8526,3167,-274,-7491,-1329,26869,631245,539803,79348,58135,11911,-2525,-57587,-11807,77475
"49",2007-11-01,2007-01-01,"upuus",541226,6928,16071,3126,-2671,-8452,-1325,13677,554903,514409,36831,73716,17853,-9828,-66415,-11663,40494
"50",2008-11-01,2008-01-01,"upuus",548180,13195,13643,2269,-840,-6912,-657,20698,568878,515734,43564,75409,17115,-8466,-63155,-11323,53144
"51",2009-11-01,2009-01-01,"upuus",573843,11039,18684,2315,-586,-5601,-304,25547,599390,529591,46895,83158,17682,-7711,-60122,-10103,69799
"52",2010-11-01,2010-01-01,"upuus",589373,7188,8373,1228,-1029,-6239,-158,9363,598736,520498,47253,77344,10844,-4905,-47281,-5017,78238
"53",2011-11-01,2011-01-01,"upuus",545016,6002,6316,3351,-629,-5286,-598,9156,553823,489990,41639,59058,11794,-3663,-39259,-5616,63953
"54",2012-11-01,2012-01-01,"upuus",556099,2548,11274,2551,-1160,-16078,-778,-1643,553199,507658,37594,48063,12213,-3659,-42900,-4856,46455
"55",2013-12-01,2013-01-01,"upuus",553218,4458,17577,2811,-910,-16264,-2669,5003,560884,523619,30671,49041,15186,-1921,-65810,-12173,14994
"56",2014-12-01,2014-01-01,"upuus",563862,4592,8785,4602,-536,-12583,-1900,2960,568525,540101,23628,50356,16701,-2297,-71419,-16018,951
"57",2007-11-01,2007-01-01,"ustot",4451116,93935,200239,19859,-28854,-194249,-9189,81741,4532857,4393173,372321,966448,108256,-241191,-958130,-108020,139684
"58",2008-11-01,2008-01-01,"ustot",4537342,139721,184273,21010,-18142,-177020,-8399,141443,4678785,4433474,451067,989752,119294,-220770,-982636,-111396,245311
"59",2009-11-01,2009-01-01,"ustot",4674330,148441,173016,13987,-15122,-167345,-8356,144621,4818951,4441221,540934,1001930,117247,-187698,-992866,-101817,377730
"60",2010-11-01,2010-01-01,"ustot",4810904,81502,166560,12872,-19957,-164555,-8857,67565,4877021,4436962,554785,980144,100556,-156714,-965856,-72103,440812
"61",2011-11-01,2011-01-01,"ustot",4847808,42107,233239,16193,-24358,-231313,-7666,28202,4875941,4476885,517192,984016,93360,-156622,-975125,-63734,399087
"62",2012-11-01,2012-01-01,"ustot",5008521,42593,185653,16676,-22144,-185291,-8651,28836,5036930,4659759,476783,962348,88873,-150104,-971582,-60084,346234
"63",2013-12-01,2013-01-01,"ustot",4894801,61610,207564,20369,-14381,-203331,-14188,57643,4939773,4665973,395344,743764,98638,-111527,-1059080,-93314,-26175
"64",2014-12-01,2014-01-01,"ustot",4939773,75143,167677,20652,-18685,-186943,-11213,46631,4978705,4791751,304505,729724,98994,-105668,-1086560,-96224,-155229
